Data,y,ds,unique_id
2004-04-23,0.0267679724218417,2004-04-23,Fechamento
2004-04-24,0.0030803218558488332,2004-04-24,Fechamento
2004-04-25,0.005634849713139101,2004-04-25,Fechamento
2004-04-26,-0.005831498721032613,2004-04-26,Fechamento
2004-04-27,0.003961167916152419,2004-04-27,Fechamento
2004-04-28,-0.03165660032298101,2004-04-28,Fechamento
2004-04-29,-0.01878610183497731,2004-04-29,Fechamento
2004-04-30,-0.0011604251537198351,2004-04-30,Fechamento
2004-05-01,-0.010694691623311669,2004-05-01,Fechamento
2004-05-02,-0.011910489848881434,2004-05-02,Fechamento
2004-05-03,0.015526177719974665,2004-05-03,Fechamento
2004-05-04,0.021054691687691474,2004-05-04,Fechamento
2004-05-05,0.008853961648084496,2004-05-05,Fechamento
