Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,ds,y
2019-12-16,111.896,112.565,113.197,111.896,6080000,-0.59,2019-12-16,111.896
2019-12-17,112.616,111.897,112.695,111.897,5350000,0.64,2019-12-17,112.616
2019-12-18,114.315,112.618,114.339,112.3,7940000,1.51,2019-12-18,114.315
2019-12-19,115.131,114.313,115.132,113.712,5780000,0.71,2019-12-19,115.131
2019-12-20,115.121,115.133,115.171,114.526,6890000,-0.01,2019-12-20,115.121
2019-12-23,115.863,115.119,115.863,114.964,4000000,0.64,2019-12-23,115.863
2019-12-26,117.203,115.864,117.22,115.673,3790000,1.16,2019-12-26,117.203
2019-12-27,116.534,117.205,117.803,115.995,3910000,-0.57,2019-12-27,116.534
2019-12-30,115.645,116.53,117.086,115.599,3670000,-0.76,2019-12-30,115.645
2020-01-02,118.573,115.652,118.573,115.649,5160000,2.53,2020-01-02,118.573
2020-01-03,117.707,118.564,118.792,117.341,6830000,-0.73,2020-01-03,117.707
2020-01-06,116.878,117.707,117.707,116.269,6570000,-0.7,2020-01-06,116.878
2020-01-07,116.662,116.872,117.076,115.965,4850000,-0.18,2020-01-07,116.662
2020-01-08,116.247,116.667,117.335,115.693,5910000,-0.36,2020-01-08,116.247
2020-01-09,115.947,116.248,116.82,115.411,5950000,-0.26,2020-01-09,115.947
2020-01-10,115.503,115.948,116.745,114.952,4780000,-0.38,2020-01-10,115.503
2020-01-13,117.325,115.503,117.333,115.503,5690000,1.58,2020-01-13,117.325
2020-01-14,117.632,117.325,117.705,116.61,5360000,0.26,2020-01-14,117.632
2020-01-15,116.414,117.632,117.632,116.188,5570000,-1.04,2020-01-15,116.414
2020-01-16,116.704,116.415,117.106,115.961,5420000,0.25,2020-01-16,116.704
2020-01-17,118.478,116.71,118.479,116.71,4950000,1.52,2020-01-17,118.478
2020-01-20,118.862,118.478,118.862,117.928,3840000,0.32,2020-01-20,118.862
2020-01-21,117.026,118.861,118.861,117.026,5090000,-1.54,2020-01-21,117.026
2020-01-22,118.391,117.035,118.401,117.035,5770000,1.17,2020-01-22,118.391
2020-01-23,119.528,118.391,119.535,116.906,6570000,0.96,2020-01-23,119.528
2020-01-24,118.376,119.528,119.593,118.108,4780000,-0.96,2020-01-24,118.376
2020-01-27,114.482,118.347,118.347,114.376,6100000,-3.29,2020-01-27,114.482
2020-01-28,116.479,114.482,116.797,114.475,5230000,1.74,2020-01-28,116.479
2020-01-29,115.385,116.494,117.171,115.164,5100000,-0.94,2020-01-29,115.385
2020-01-30,115.528,115.375,115.528,112.825,6320000,0.12,2020-01-30,115.528
2020-01-31,113.761,115.518,115.518,113.148,6220000,-1.53,2020-01-31,113.761
2020-02-03,114.629,113.761,115.299,113.467,5510000,0.76,2020-02-03,114.629
2020-02-04,115.557,114.631,116.556,114.631,5830000,0.81,2020-02-04,115.557
2020-02-05,116.028,115.563,117.701,115.562,7170000,0.41,2020-02-05,116.028
2020-02-06,115.19,116.033,117.382,114.723,7380000,-0.72,2020-02-06,115.19
2020-02-07,113.77,115.19,115.19,113.769,6590000,-1.23,2020-02-07,113.77
2020-02-10,112.57,113.771,114.176,112.134,7490000,-1.05,2020-02-10,112.57
2020-02-11,115.371,112.574,115.576,112.574,6770000,2.49,2020-02-11,115.371
2020-02-12,116.674,115.371,117.581,115.371,8160000,1.13,2020-02-12,116.674
2020-02-13,115.662,116.66,116.66,114.801,5640000,-0.87,2020-02-13,115.662
2020-02-14,114.381,115.663,115.663,114.132,5340000,-1.11,2020-02-14,114.381
2020-02-17,115.309,114.381,115.696,114.381,4360000,0.81,2020-02-17,115.309
2020-02-18,114.977,115.309,115.309,113.532,5550000,-0.29,2020-02-18,114.977
2020-02-19,116.518,114.982,116.545,114.774,6330000,1.34,2020-02-19,116.518
2020-02-20,114.586,116.518,116.552,114.379,6790000,-1.66,2020-02-20,114.586
2020-02-21,113.681,114.585,114.585,112.661,5900000,-0.79,2020-02-21,113.681
2020-02-26,105.718,113.647,113.647,105.053,9370000,-7.0,2020-02-26,105.718
2020-02-27,102.984,105.711,106.656,102.984,11240000,-2.59,2020-02-27,102.984
2020-02-28,104.172,102.984,104.172,99.951,11230000,1.15,2020-02-28,104.172
2020-03-02,106.625,104.26,107.22,103.779,8860000,2.36,2020-03-02,106.625
2020-03-03,105.537,106.63,108.804,104.405,9390000,-1.02,2020-03-03,105.537
2020-03-04,107.224,105.54,107.809,105.042,8410000,1.6,2020-03-04,107.224
2020-03-05,102.233,107.217,107.217,100.536,8600000,-4.65,2020-03-05,102.233
2020-03-06,97.997,102.231,102.231,96.886,11860000,-4.14,2020-03-06,97.997
2020-03-09,86.067,97.982,97.982,85.88,14650000,-12.17,2020-03-09,86.067
2020-03-10,92.214,86.071,92.23,86.071,13530000,7.14,2020-03-10,92.214
